student_id,Average_time_engaged,num_reviewed,num_retry,Sum engaged
988aaef5-55d8-4efd-a2aa-8a17e687965e,182875.18,59,0,32734658
bb3d0834-83be-4158-8d8e-6230178074a8,150016.54,20,0,18602051
c985759c-1ed2-4964-8c29-e17a0844e44a,424955.62,87,16,94340148
0556b794-cd80-4af6-8cfa-8055462c215a,475811.4,128,239,165582368
062f021e-8297-41e6-a8fe-54a382ab7404,328154.09,130,69,105993772
0d8dff90-f271-49ee-8e0e-cf7e83c7de61,243033.52,385,448,189080079
0f109cdd-f04e-4799-9a83-39ccebf8b171,355166.81,247,0,175097238
0f122889-830d-40c1-a6f8-f432cb327190,431133.71,162,51,190129966
32683ad9-2845-4977-9912-2c59bf0f6aa6,287357.84,110,0,107471832
3cc14c3e-8586-4017-80c1-152954ebbe2a,442348.49,92,4,133146894
41422302-20a7-417e-88ea-3b29631a418d,257181.3,503,840,180541275
4877fc0b-61be-404d-b1cf-bfa0e547feca,520552.53,372,406,356057928
4ca965ca-1794-4f5f-a14a-4a0ba41137d3,245036.54,161,0,80126949
53af77c6-6730-4c74-beb0-f717439e6e5a,370708.33,38,0,70063875
5f61c579-eaf0-4acd-ab54-b4143887a30e,518359.72,163,383,192829815
667f325c-12ee-4b85-807c-fe69fa3d92bb,433501.4,67,4,129183416
78ccab12-8733-4772-a2e0-17c7e68a69d6,245333.33,41,14,57653332
7a2cff82-cc76-44d0-bba7-0c8952982990,437489.59,139,130,135621773
7d467286-5c8a-40db-ace7-9f15e7f97d4d,224712.23,182,111,80446980
7d7a5092-b244-44a2-a776-3bb2c8d5a80f,408506.42,121,0,133990106
82a3e3eb-3f80-48b6-a55c-986cc1d0a709,214309.17,132,36,62578278
85d5058c-53e9-49b1-8475-d3df2336b0ff,248475,67,0,63609600
a3ac1e2d-7dc6-4ff1-a8df-bb6ff0f52e67,488273.44,35,8,120115266
c7bb202e-6a69-4a84-9814-e55e6bd6d54b,330412.39,68,42,82272686
e0341b71-28a9-448e-b0a7-0e8efbbdad65,260322.34,101,0,78617346
f1733a31-055f-4c38-92c1-3f294ba94c35,309905.87,179,4,136048675
f52bcfe1-c230-4093-ae99-c46781171178,297436.71,461,339,265908420
5098bdf5-4c55-4c17-be39-21bd88ad1a2b,315698.27,34,0,68506525
5e037301-b06b-4b91-896b-fa411d055f7e,260764.13,35,0,53717410
7586f20a-8b0e-4467-8280-f68cbd64d1b0,311250.7,37,0,86527694
11eabd81-c391-4201-9c16-166286778096,347084.61,114,12,95795353
33106cf9-22dc-45d0-847d-8465c6303a57,388883.51,88,0,98776411
45a6b32e-d1d3-415b-8c8b-1fa5edb165f0,241417.89,109,92,74356710
5809f204-48e7-4dff-bc92-d22986d01459,382350.11,107,0,101322778
91f060a9-d6cc-48e2-8ad9-362ab1b25fe2,229256.65,47,0,51353490
a25014c3-2a12-45ea-965e-4f52fb568c49,992959.23,10,0,191641131
ba499004-ccbf-42ce-92e9-3c8c38f088d8,272580.13,87,0,82046618
c0cb2f98-4801-4f44-ae5a-437023b36c9b,163580.19,78,0,47274674
cc79d3fc-ccc0-48a2-8621-76b70b37ca0f,244402.62,125,75,79430851
d76083a0-6c0d-446c-82e3-723a6d27c098,304358.07,142,60,99525089
f1df3150-ad4c-480e-b3ef-e3494116401d,736041.18,255,506,326066244
046c4be5-49ef-4fe6-baa4-4062d249253a,839154.9,2,0,8391549
9dd7096f-7041-4a6d-89d8-622012859d20,402898.45,94,0,154713006
a52c1e17-97fa-4339-a21e-721945894c90,158067.57,50,33,48052541
af94a4c0-39b3-45ab-89cf-c7f246155b3a,325852.5,62,0,82766535
20b07e14-d5b9-4dbb-99db-e0b784b045f6,189930.36,39,0,28489554
c48337fd-a13a-4aef-91ea-de58fca66379,566830.58,1,12,10769781
36ada86d-1a6d-4f4a-8d11-3b0ccebf4c11,162467,0,0,162467
4bba8ed7-c2ef-4c14-bf3e-002ecb658f38,353780.53,52,0,101181233
60aab6bd-97db-4d4d-8f7a-a4cc89d2cd1d,277097.07,55,0,70105559
ab0256e9-ad95-4928-b360-fd1df4b0d579,208650.14,115,21,96187715
b05d01ec-ab23-4133-aa6a-6420f8333270,316154.22,24,0,88523181
cd045db2-56f9-4c52-9ae4-7d856c89396c,437818.51,81,23,119962273
d4384d3a-b8d8-4ae5-a8ec-fb28841a86bd,329807.72,136,8,119060587
e4d569b9-a923-411d-94b4-50aa8bcbfd66,434098.32,132,0,208801290
b9e12a33-e1e1-4561-bc71-d94c1716c5ce,302706.47,46,0,74465791
073c1155-c6f1-451a-b22d-3508d041dce3,386372.06,25,0,45591903
46b4a4d0-5c47-4da7-a002-e7767af0455f,239540.46,58,82,54375685
97a884d8-9c0b-446d-922a-812553ccb4fd,188570.53,332,15,123513697
eaabf304-6cd7-458d-8285-bdf06cb8ebd5,583083.65,61,0,118365981
7f5ea72c-8cd1-4596-8d57-967fe6f343d0,91156.32,1017,0,116497776
6f7260a7-2017-4cbb-8dd8-f4b9528ac4ab,192369.38,155,18,92144934
7851da22-a99d-4c3c-ad60-396aadd2cea3,237320.12,101,0,79264919
c38bdcec-1224-43a3-9567-a0539b515537,265382.67,32,0,30519007
ec963de3-4d24-4cd7-be14-f8751dde31b5,140064.02,82,0,29833636
42b2f919-79ef-4788-9e5d-3120bf01cc6a,214651.19,127,14,56882566
600f8379-2f63-4f44-8eb6-1762583d34ad,390879.97,81,0,70358395
e41950b0-6808-49bb-8f0c-70501cea596f,244704.29,39,0,26428063
cea540a5-cde8-4749-956a-888e4335efba,167073.77,69,0,31911091
fef083e8-7167-4f42-82d5-d2e893aa408a,434620.31,41,0,50415956
16dca71c-ff76-438e-bb51-087bd9db6431,238600.77,384,43,146023670
493c9abb-7022-486b-96bd-3402bb788394,236146.14,167,0,83595734
4b154566-270f-4238-b45f-7bc4f72f4bfb,322041.77,176,0,135901628
532c9ef0-9898-4e52-a46e-b4ead7493fb1,355444.58,42,0,68245359
6088ffb1-1de1-41a8-bb04-65eb28535a37,267282,141,0,78848189
8c595db3-2b8b-4142-ab8b-1de2cccc6864,336237.45,181,0,115329444
8ed7a469-5018-4597-afc8-df9e21d0985b,491896.63,299,3,296613669
8ed91492-ef53-4acf-9544-4b1756265d36,415641.92,262,9,189532714
a62851d0-7cfd-4fcd-8353-5f2931be7ddc,391388.65,12,0,54011634
54c037ee-abce-45bc-9647-992dd322e294,274602.88,91,110,55744384
2eac3fe9-ff5f-405a-90ed-a3b959949151,426438.84,185,80,185074455
4ae2aa76-96e6-412c-8451-a47be62423ed,544392,0,1,6532704
ab14b5aa-cc33-4883-b442-87b047dd8370,151689.8,336,0,120441702
2fbe606b-83d5-4b7d-aa0b-1eed516b4f41,199532.43,74,0,46091991
311b0c23-af82-48ac-8ed9-607b9ca34ccf,282586.26,44,0,37866559
84b602c6-252b-44e7-964d-1cbe06e5ea85,128373.78,44,0,33762305
9ec4564b-0c65-451f-b7e1-c1995510807a,190148.69,35,0,22247397
ac13b578-75c4-41fe-9df7-31b1d89398fb,90923.86,517,96,80103917
ee835340-8bb4-4079-a56a-a60daceb092b,336626.66,58,0,68671839
f8658da6-bf64-465f-91f6-8a3cb6128eec,292346.82,1,0,6431630
1a74701d-a0cb-45ba-ac79-fb70eaba9676,340225.42,17,0,26877808
2a9bddd2-b04a-4fe4-853b-49f7c39f9fec,240679.92,2,0,3128839
5b045e3a-51ac-461d-9a20-a6c391e8170a,116460.95,20,0,16304533
cf88c477-17c9-42dd-ab02-da163b898a26,251234.47,127,0,72104292
1974e2b6-9ea4-4716-9cd9-3f6a5649db46,191504.22,45,0,27385103
611c21d6-ef3e-4b70-85ab-56cd98e4eec8,322243.58,23,5,20945833
b9b1abc2-8934-4468-af82-68fc14534784,319803.34,54,10,58843814
eb12b64f-1819-4e11-9edf-dcf6e8d799bb,174494.64,402,0,116562418
f4f342ae-9eba-46dd-b6e8-909f27a26c47,451903.09,43,0,96255358
1b73ef86-75a1-47a3-8903-2ab56dc98d02,406469,0,0,406469
51833a01-11f0-432f-ad64-29971beae395,160802,0,0,160802
681930c4-ab8a-4351-80c9-850b48ec790d,217450.33,0,0,652351
7f2ebf42-f862-4b53-9fb3-bc9c71d5024d,42500,1,0,42500
902aaf25-4169-46cb-a75a-ce14f82c1bc6,399619.33,0,0,1198858
b8d996cb-a69d-4e7d-a385-9a6484a7d06d,173491.43,5,0,3990303
4b88ca57-6b97-493a-8ecb-fc076e270e06,394857.43,4,0,16584012
74863d5d-b75d-497c-bdf3-45335d31a48c,245633.77,165,20,80322242
b1eb6772-de59-4d15-a2b6-520b1f010f82,384714.1,16,2,30777128
b9bbb654-809f-42f7-8b81-6380a37a4187,200985.42,429,8,124610958
d6c9d83e-806a-4c9f-85d0-4da715ed9745,368836.26,13,5,33195263
dacad6bf-c434-41c3-a6dc-6e714e8135e8,203897.86,40,0,22428765
77745a3b-3ac6-4a33-a111-3c657d267e4a,211949.61,85,0,57438343
497e7247-caf0-408f-8325-5c20e532dac3,534806.74,29,28,68990069
65ba7fff-adf9-4e17-afee-b08181bf5b35,375188.81,40,0,42396336
81f6dd31-1427-4bf4-abaa-09f2ea49dd04,214684.62,29,0,22971254
1ef3d36d-6223-42e5-8803-870043bec1ce,190758.89,149,0,72297620
a5c73088-e717-4d78-a2e9-fc3b807e34d0,252500.6,178,0,108070255
86f5bae9-2eb7-455d-bc89-e0046e4e6119,148632.2,2,4,1486322
db04fb07-56d0-4e8e-8d14-b0a163f332e5,323891,0,0,323891
94b84ed4-61ad-4364-b98a-926383362fb2,174326.33,79,0,26846255
7a26ed43-861a-41e6-8193-0bc925ab3c5a,122191,0,0,244382
86bcf9a3-2687-47e7-b422-dd8bc6d71c6b,362607.61,14,0,11966051
a008d6ca-8b0f-4e9e-8bf6-42ed8aa7b4c4,115333.11,70,0,28141279
e041e291-7d04-4b48-8b10-7f0044e1ada9,152498.18,28,14,51849381
03fefe56-a52f-49fe-9cd8-b183e9badc58,585765.58,72,0,166357426
29d93eff-7448-4107-a203-08cd3471f2fe,488247.16,45,15,123038285
d8facca8-80ae-4df5-a79b-e9aee47f24b1,509085.44,23,0,109453369
e1a48fbb-01ec-408a-8135-680b21c9f0bf,261856.61,111,0,75676561
41a076f2-1b8f-4eec-ada6-52cffac899a4,344848.03,66,0,111041065
47ab04a0-a6e5-45c2-9cb6-65acb2450133,667086.88,51,0,230812059
8dd9579c-6c7f-41c0-90b6-9ff88bf7d2b4,425025.22,15,0,15725933
97a00d67-74fc-43ed-a057-c045d2901959,393682.93,2,0,22833610
137af3b3-0ba0-427b-b43f-8ba34b5de5f6,483302.55,294,0,219419359
d2421267-c56f-4494-bf03-5833a0109ae0,116176.57,112,166,26720611
d6d625b4-dbb8-4372-9be5-84b30cd1f7a7,255638.28,48,0,25819466
32341bcc-ce4a-414f-9934-b1df60836e3e,228371.33,1,0,685114
cb38cb27-cb3b-4268-9e6e-8dc9860f0b91,301466.22,17,0,25624629
0d6a321b-90fe-4ff3-9a3d-95b56745e231,441739.2,79,0,143123502
4eb7690e-2297-41b3-a95c-cdd157954642,602744.66,4,0,52438785
650ff28e-290f-4a0c-a032-447dd693119f,298652.86,104,0,100944665
8300403a-4e77-4300-9a20-ced3926b687c,957956.92,191,0,491431902
13c49279-9c80-41e2-b6a2-1513aab66300,569614.16,1,2,61518329
199306d2-0bfb-4531-bc01-63c7be0ee9b5,687270.43,75,0,196559344
a34d83d8-f5e8-41e3-a0d8-9b1f81b6b263,531402.41,15,21,100966457
f77e9e18-7090-4e4a-af77-114505b29e97,369951.4,0,0,1849757
215a6005-bb4b-4f11-83e4-74aa016104ac,428932.01,29,0,125677078
40e0f794-7c7e-4380-b0b0-1a2803187c9c,205162.12,101,0,86373251
40f3353b-00c7-4667-a12d-7361194681a1,297707,12,0,19946369
51bc423f-c83c-4a50-a7e7-49fa74b14e35,346216.14,118,14,104903489
9981ed63-9aec-4ffe-aa48-f2c79009a2ef,241549.62,43,0,48793024
a51af53e-6e4c-4651-832d-e7349e808a6d,511416.92,86,0,121717226
ab915c05-cd34-40bf-b4fd-321ac00304ec,665284.38,96,39,207568725
dbff0a68-c044-4054-b5bb-8f84e10f57e8,126363.71,357,0,74428225
162b7c19-331e-4281-a521-5e6c5f8baae5,323164.85,50,0,49767387
